iter	MAE
0	0.7696498502
1	0.7650441327
2	0.7609172021
3	0.7571356442
4	0.7536962988
5	0.7500914504
6	0.7466583283
7	0.7427690262
8	0.740088216
9	0.7373409076
10	0.734382165
11	0.7306830058
12	0.7276446978
13	0.7241958421
14	0.7213912501
15	0.71929133
16	0.716766681
17	0.7142250712
18	0.7118772795
19	0.7101477165
20	0.7078961755
21	0.7052721532
22	0.7034917147
23	0.7018117576
24	0.7002650774
25	0.6983443674
26	0.6961662262
27	0.6944540698
28	0.6924081548
29	0.6905399905
30	0.6893638975
31	0.688350811
32	0.6863981341
33	0.6853589631
34	0.6837326381
35	0.6825696389
36	0.6807699033
37	0.6793408883
38	0.6781191763
39	0.6766448757
40	0.6751795603
41	0.6741543058
42	0.6725810712
43	0.6713570596
44	0.6699602865
45	0.6690105827
46	0.6680362937
47	0.6671325232
48	0.6659368931
49	0.6648895963
50	0.6638610035
51	0.6627582197
52	0.6616773999
53	0.6604041158
54	0.6591534303
55	0.6581686118
56	0.6574072994
57	0.6565173602
58	0.6555264246
59	0.6546007288
60	0.6537660584
61	0.6526012815
62	0.6515044021
63	0.6503493343
64	0.6496035331
65	0.6483488443
66	0.6473848219
67	0.6463801649
68	0.6454066687
69	0.6445112954
70	0.6433939727
71	0.6425365059
72	0.6416068689
73	0.6407928667
74	0.6401088863
75	0.6391501346
76	0.6384323213
77	0.6376352453
78	0.636877228
79	0.6360181522
80	0.635257749
81	0.6342533623
82	0.6333130484
83	0.632329498
84	0.6315983502
85	0.6307834668
86	0.62991016
87	0.628923189
88	0.6280279389
89	0.6270030567
90	0.6265901606
91	0.6257387707
92	0.6250142493
93	0.6242702298
94	0.6234895277
95	0.6226696374
96	0.6221758368
97	0.6214325735
98	0.6206997188
99	0.6199776617
100	0.6194311332
101	0.6187869719
102	0.6182054115
103	0.6175893761
104	0.6167414699
105	0.6160292909
106	0.6152865115
107	0.6145966981
108	0.613879523
109	0.6133322221
110	0.6127458997
111	0.6119536033
112	0.6114403862
113	0.6106835114
114	0.6098651646
115	0.6091078587
116	0.6085369712
117	0.6079135025
118	0.6072221904
119	0.6065653955
120	0.6057572229
121	0.6049993898
122	0.6042290903
123	0.6033914381
124	0.6025806527
125	0.6019240174
126	0.6012867906
127	0.6006290354
128	0.5997091231
129	0.5990329805
130	0.5982624389
131	0.5977899102
132	0.5972348434
133	0.5967418867
134	0.5960523033
135	0.5954641384
136	0.5947726942
137	0.594052294
138	0.5934569526
139	0.5927801416
140	0.5921658339
141	0.5915553233
142	0.5908914072
143	0.590531717
144	0.590003503
145	0.5896093106
146	0.5890412699
147	0.5882588907
148	0.5877928717
149	0.587092852
150	0.5865573025
151	0.5858099072
152	0.5851645936
153	0.5846286299
154	0.5840360147
155	0.5833069088
156	0.5827542228
157	0.5820935348
158	0.5814511221
159	0.5808349693
160	0.5801466402
161	0.5796293226
162	0.5791122195
163	0.5784341595
164	0.577834186
165	0.5773037418
166	0.5765379303
167	0.5758123127
168	0.5752949731
169	0.5745810007
170	0.5741522445
171	0.5735191524
172	0.5729921935
173	0.5725643283
174	0.57205498
175	0.5713443555
176	0.5708909925
177	0.5703692392
178	0.5697656548
179	0.5691892843
180	0.5687087361
181	0.567997226
182	0.5673201161
183	0.5667866634
184	0.5664517069
185	0.5661069043
186	0.5655218107
187	0.5647840202
188	0.5643644816
189	0.5638139826
190	0.5634005183
191	0.5628408419
192	0.5623232609
193	0.561767391
194	0.561290654
195	0.5606183698
196	0.5599298348
197	0.5594583578
198	0.5589130918
199	0.5582742528
200	0.5578515316
201	0.5571231641
202	0.5566449489
203	0.5561540898
