iter	Passed	Remaining
0	23	57631
1	41	52003
2	60	50638
3	79	49769
4	98	49151
5	119	49526
6	140	50147
7	163	50779
8	183	50819
9	206	51407
10	227	51509
11	249	51757
12	274	52513
13	296	52737
14	322	53405
15	346	53828
16	371	54220
17	394	54449
18	427	55855
19	450	55915
20	474	55961
21	506	57034
22	768	82773
23	841	86782
24	917	90870
25	953	90727
26	983	90076
27	1006	88852
28	1038	88501
29	1067	87892
30	1101	87696
31	1129	87147
32	1162	86904
33	1203	87280
34	1234	86939
35	1270	86953
36	1304	86833
37	1334	86474
38	1362	85949
39	1388	85363
40	1421	85245
41	1455	85184
42	1485	84906
43	1520	84848
44	1588	86687
45	1763	94103
46	1919	100198
47	1999	102133
48	2030	101581
49	2054	100651
50	2079	99862
51	2102	98994
52	2130	98364
53	2152	97484
54	2174	96664
55	2196	95857
56	2217	95058
57	2241	94367
58	2262	93622
59	2284	92919
60	2310	92382
61	2333	91742
62	2358	91247
63	2384	90769
64	2409	90250
65	2430	89649
66	2452	89049
67	2474	88499
68	2497	87984
69	2522	87576
70	2546	87101
71	2566	86551
72	2598	86401
73	2625	86083
74	2650	85690
75	2672	85250
76	2695	84810
77	2717	84384
78	2740	83975
79	2761	83536
80	2783	83117
81	2805	82741
82	2826	82318
83	2848	81921
84	2870	81555
85	2894	81237
86	2920	80990
87	2943	80678
88	2969	80431
89	2996	80239
90	3022	80012
91	3050	79837
92	3076	79622
93	3100	79351
94	3122	79045
95	3144	78734
96	3169	78518
97	3190	78205
98	3212	77918
99	3235	77647
100	3253	77286
101	3272	76929
102	3291	76605
103	3310	76271
104	3330	75957
105	3350	75662
106	3370	75388
107	3393	75159
108	3414	74903
109	3435	74644
110	3457	74423
111	3479	74181
112	3501	73955
113	3519	73662
114	3541	73443
115	3559	73160
116	3584	73004
117	3605	72785
118	3624	72521
119	3644	72284
120	3667	72108
121	3687	71872
122	3716	71819
123	3742	71705
124	3768	71599
125	3796	71523
126	3822	71425
127	3851	71367
128	3880	71325
129	3909	71271
130	3944	71331
131	3970	71225
132	4002	71226
133	4031	71178
134	4058	71098
135	4080	70931
136	4103	70781
137	4136	70792
138	4165	70751
139	4191	70657
140	4214	70518
141	4237	70372
142	4261	70240
143	4282	70068
144	4303	69888
145	4327	69772
146	4348	69612
147	4372	69487
148	4394	69332
149	4415	69174
150	4436	69019
151	4459	68880
152	4481	68742
153	4506	68654
154	4527	68500
155	4549	68359
156	4573	68252
157	4597	68153
158	4622	68059
159	4643	67912
160	4669	67832
161	4692	67727
162	4714	67592
163	4739	67504
164	4760	67371
165	4784	67275
166	4806	67147
167	4829	67038
168	4855	66968
169	4880	66889
170	4905	66816
171	4929	66724
172	4954	66645
173	4982	66604
174	5006	66509
175	5039	66545
176	5067	66502
177	5092	66435
178	5118	66373
179	5142	66281
180	5164	66172
181	5187	66072
182	5210	65975
183	5230	65836
184	5251	65716
185	5275	65631
186	5301	65570
187	5322	65453
188	5344	65350
189	5366	65248
190	5389	65151
191	5408	65012
192	5429	64896
193	5448	64759
194	5470	64664
195	5489	64529
196	5508	64398
197	5531	64314
198	5552	64207
199	5573	64097
200	5597	64018
201	5615	63883
202	5634	63757
203	5652	63616
204	5672	63502
205	5692	63392
206	5717	63336
207	5746	63324
208	5770	63260
209	5795	63203
210	5823	63179
211	5847	63110
212	5871	63047
213	5896	62993
214	5922	62945
215	5945	62869
216	5971	62822
217	5996	62767
218	6022	62727
219	6044	62644
220	6068	62580
221	6090	62499
222	6113	62423
223	6136	62354
224	6164	62331
225	6187	62262
226	6212	62210
227	6237	62152
228	6259	62074
229	6281	61997
230	6305	61935
231	6328	61863
232	6349	61778
233	6374	61725
234	6397	61664
235	6425	61636
236	6449	61580
237	6474	61539
238	6499	61487
239	6521	61415
240	6543	61336
241	6570	61302
242	6593	61241
243	6614	61160
244	6638	61104
245	6659	61022
246	6682	60952
247	6705	60886
248	6729	60831
249	6753	60779
250	6775	60710
251	6797	60638
252	6821	60581
253	6846	60540
254	6869	60475
255	6892	60416
256	6914	60350
257	6935	60272
258	6960	60223
259	6984	60173
260	7009	60134
261	7034	60091
262	7059	60049
263	7095	60094
264	7117	60025
265	7139	59959
266	7163	59906
267	7185	59840
268	7204	59753
269	7223	59661
270	7246	59599
271	7266	59523
272	7286	59438
273	7306	59359
274	7327	59284
275	7348	59212
276	7367	59127
277	7387	59044
278	7406	58961
279	7425	58871
280	7449	58826
281	7467	58735
282	7487	58659
283	7506	58575
284	7529	58517
285	7554	58479
286	7577	58428
287	7599	58369
288	7620	58303
289	7640	58227
290	7661	58158
291	7683	58101
292	7705	58044
293	7729	57996
294	7753	57954
295	7776	57901
296	7800	57857
297	7826	57829
298	7850	57791
299	7875	57752
300	7897	57697
301	7923	57665
302	7947	57627
303	7968	57559
304	7991	57512
305	8013	57455
306	8034	57396
307	8056	57333
308	8078	57284
309	8100	57224
310	8121	57161
311	8143	57110
312	8165	57050
313	8187	57000
314	8209	56944
315	8231	56893
316	8252	56829
317	8280	56814
318	8307	56794
319	8333	56772
320	8358	56741
321	8385	56720
322	8410	56686
323	8437	56665
324	8460	56617
325	8481	56558
326	8503	56509
327	8528	56477
328	8554	56448
329	8577	56403
330	8597	56340
331	8621	56296
332	8647	56276
333	8670	56230
334	8696	56199
335	8719	56158
336	8743	56119
337	8765	56069
338	8791	56041
339	8812	55984
340	8835	55939
341	8857	55890
342	8881	55850
343	8906	55820
344	8930	55783
345	8956	55757
346	8981	55724
347	9004	55684
348	9026	55633
349	9048	55585
350	9070	55536
351	9093	55491
352	9116	55447
353	9138	55396
354	9160	55348
355	9181	55294
356	9201	55232
357	9221	55174
358	9240	55108
359	9263	55065
360	9283	55006
361	9304	54951
362	9323	54889
363	9343	54826
364	9364	54777
365	9383	54712
366	9403	54655
367	9423	54593
368	9442	54530
369	9462	54474
370	9483	54419
371	9501	54352
372	9523	54304
373	9546	54268
374	9565	54205
375	9583	54139
376	9603	54081
377	9622	54016
378	9643	53965
379	9666	53928
380	9688	53884
381	9711	53846
382	9734	53803
383	9755	53756
384	9783	53747
385	9811	53734
386	9836	53704
387	9861	53676
388	9887	53654
389	9912	53630
390	9937	53598
391	9960	53562
392	9985	53537
393	10011	53515
394	10033	53468
395	10056	53429
396	10079	53391
397	10100	53344
398	10123	53304
399	10144	53260
400	10167	53219
401	10190	53182
402	10212	53142
403	10234	53099
404	10259	53070
405	10282	53032
406	10305	52996
407	10329	52966
408	10352	52925
409	10377	52901
410	10398	52853
411	10425	52835
412	10447	52794
413	10475	52783
414	10498	52746
415	10524	52722
416	10547	52687
417	10569	52647
418	10592	52609
419	10613	52562
420	10638	52536
421	10660	52492
422	10686	52472
423	10707	52425
424	10728	52378
425	10750	52341
426	10774	52309
427	10796	52265
428	10822	52246
429	10845	52209
430	10870	52181
431	10896	52162
432	10925	52157
433	10965	52197
434	10992	52180
435	11018	52158
436	11041	52124
437	11069	52114
438	11091	52069
439	11113	52029
440	11134	51987
441	11154	51938
442	11173	51884
443	11192	51830
444	11213	51782
445	11232	51729
446	11251	51677
447	11272	51632
448	11292	51581
449	11313	51537
450	11332	51486
451	11351	51434
452	11370	51380
453	11390	51332
454	11412	51292
455	11435	51258
456	11454	51205
457	11476	51168
458	11498	51127
459	11519	51086
460	11538	51036
461	11558	50989
462	11578	50940
463	11598	50892
464	11617	50841
465	11639	50805
466	11664	50777
467	11685	50735
468	11708	50704
469	11730	50665
470	11750	50620
471	11777	50602
472	11799	50564
473	11819	50521
474	11843	50492
475	11865	50452
476	11885	50406
477	11908	50374
478	11933	50350
479	11957	50321
480	11981	50293
481	12008	50274
482	12032	50247
483	12055	50215
484	12080	50188
485	12105	50164
486	12129	50136
487	12153	50106
488	12176	50076
489	12201	50050
490	12225	50021
491	12248	49990
492	12275	49971
493	12296	49933
494	12318	49897
495	12340	49858
496	12361	49817
497	12383	49784
498	12408	49758
499	12430	49720
500	12452	49686
501	12474	49650
502	12504	49646
503	12527	49611
504	12552	49588
505	12574	49553
506	12602	49539
507	12626	49510
508	12650	49483
509	12672	49445
510	12693	49408
511	12717	49378
512	12738	49340
513	12760	49302
514	12784	49276
515	12806	49242
516	12828	49205
517	12854	49182
518	12880	49162
519	12903	49133
520	12929	49111
521	12952	49081
522	12975	49048
523	12999	49020
524	13021	48984
525	13045	48957
526	13067	48923
527	13089	48885
528	13112	48856
529	13132	48814
530	13150	48764
531	13171	48724
532	13190	48677
533	13211	48640
534	13231	48596
535	13255	48571
536	13278	48541
537	13307	48528
538	13330	48497
539	13354	48471
540	13377	48440
541	13398	48401
542	13418	48360
543	13437	48316
544	13455	48268
545	13477	48231
546	13497	48190
547	13518	48152
548	13536	48105
549	13557	48069
550	13577	48025
551	13596	47982
552	13619	47950
553	13642	47920
554	13663	47885
555	13685	47849
556	13708	47820
557	13731	47789
558	13752	47752
559	13775	47721
560	13798	47692
561	13823	47670
562	13848	47644
563	13872	47619
564	13896	47592
565	13923	47577
566	13950	47560
567	13976	47538
568	14001	47514
569	14022	47481
570	14045	47450
571	14068	47420
572	14090	47385
573	14112	47352
574	14133	47317
575	14156	47286
576	14178	47253
577	14199	47217
578	14223	47190
579	14245	47156
580	14268	47127
581	14289	47092
582	14313	47064
583	14336	47034
584	14358	47001
585	14383	46979
586	14407	46952
587	14430	46924
588	14454	46896
589	14482	46885
590	14508	46864
591	14533	46839
592	14555	46808
593	14580	46783
594	14601	46750
595	14624	46719
596	14647	46689
597	14669	46657
598	14693	46630
599	14714	46597
600	14741	46577
601	14765	46552
602	14791	46532
603	14815	46505
604	14840	46484
605	14865	46461
606	14890	46439
607	14916	46417
608	14939	46389
609	14962	46358
610	14983	46325
611	15006	46295
612	15029	46264
613	15050	46229
614	15073	46199
615	15097	46173
616	15116	46132
617	15137	46096
618	15156	46056
619	15176	46019
620	15197	45982
621	15216	45942
622	15235	45901
623	15255	45862
624	15274	45823
625	15293	45781
626	15313	45745
627	15333	45707
628	15352	45667
629	15374	45635
630	15394	45599
631	15414	45559
632	15433	45520
633	15454	45487
634	15476	45453
635	15495	45414
636	15515	45378
637	15534	45338
638	15556	45305
639	15577	45273
640	15606	45262
641	15631	45238
642	15655	45214
643	15680	45192
644	15702	45158
645	15723	45125
646	15745	45095
647	15775	45086
648	15800	45064
649	15822	45033
650	15846	45007
651	15869	44980
652	15895	44959
653	15916	44927
654	15940	44900
655	15962	44868
656	15982	44833
657	16005	44805
658	16032	44787
659	16055	44760
660	16081	44740
661	16104	44712
662	16131	44695
663	16153	44664
664	16173	44629
665	16195	44598
666	16217	44568
667	16240	44540
668	16261	44505
669	16283	44475
670	16305	44446
671	16328	44416
672	16350	44388
673	16374	44360
674	16394	44324
675	16416	44295
676	16439	44267
677	16465	44248
678	16488	44220
679	16510	44189
680	16533	44161
681	16555	44130
682	16576	44098
683	16597	44064
684	16619	44035
685	16642	44008
686	16663	43975
687	16690	43958
688	16714	43934
689	16738	43907
690	16760	43877
691	16787	43859
692	16812	43837
693	16837	43817
694	16862	43793
695	16888	43775
696	16989	43948
697	17165	44315
698	17215	44356
699	17275	44423
700	17298	44392
701	17316	44353
702	17336	44314
703	17355	44275
704	17374	44236
705	17393	44198
706	17412	44158
707	17431	44120
708	17451	44085
709	17473	44052
710	17492	44013
711	17510	43972
712	17528	43932
713	17547	43894
714	17568	43859
715	17590	43829
716	17612	43798
717	17633	43765
718	17658	43740
719	17678	43705
720	17700	43674
721	17723	43645
722	17748	43621
723	17770	43592
724	17796	43570
725	17823	43551
726	17849	43530
727	17874	43507
728	17897	43480
729	17922	43456
730	17945	43428
731	17968	43399
732	17991	43370
733	18012	43338
734	18035	43310
735	18056	43277
736	18078	43245
737	18100	43215
738	18123	43187
739	18145	43156
740	18171	43136
741	18195	43109
742	18219	43085
743	18243	43057
744	18268	43035
745	18292	43008
746	18316	42982
747	18344	42967
748	18369	42943
749	18390	42910
750	18414	42885
751	18439	42862
752	18462	42833
753	18483	42801
754	18504	42769
755	18525	42736
756	18547	42706
757	18568	42673
758	18589	42640
759	18612	42611
760	18634	42581
761	18654	42548
762	18680	42526
763	18704	42500
764	18726	42472
765	18750	42446
766	18773	42418
767	18798	42394
768	18822	42369
769	18847	42344
770	18868	42313
771	18889	42281
772	18913	42256
773	18935	42225
774	18957	42195
775	18982	42171
776	19005	42143
777	19030	42121
778	19053	42094
779	19075	42063
780	19095	42029
781	19116	41997
782	19135	41961
783	19155	41927
784	19176	41894
785	19198	41866
786	19220	41835
787	19242	41806
788	19264	41776
789	19283	41739
790	19302	41704
791	19324	41673
792	19343	41638
793	19362	41602
794	19382	41569
795	19404	41540
796	19427	41511
797	19448	41479
798	19466	41443
799	19486	41409
800	19506	41375
801	19525	41340
802	19548	41311
803	19572	41287
804	19596	41262
805	19619	41235
806	19643	41209
807	19664	41179
808	19688	41153
809	19714	41132
810	19747	41126
811	19782	41125
812	19813	41112
813	19842	41098
814	19872	41086
815	19914	41098
816	19940	41076
817	19961	41045
818	19982	41013
819	20005	40986
